ds,yhat,yhat_lower,yhat_upper
2025-06-12 21:17:21.321,5265.499994294487,1557.3622792246713,8922.481008120012
2025-06-12 21:17:24.378,5265.588969102036,1587.9357021079875,8785.761390248232
2025-06-12 21:17:25.326,5265.616560897115,1715.5348666423706,9034.077392506748
2025-06-12 21:17:28.332,5265.7040513359425,1417.5646789775542,8721.908552323894
2025-06-12 21:17:29.583,5265.74046202755,1530.633116784062,8721.421931182911
2025-06-12 21:17:32.383,5265.821956780949,1914.7428365740375,8748.099712781923
2025-06-12 21:17:33.377,5265.850887418405,1717.673270792658,9185.603926601787
2025-06-12 21:17:36.394,5265.938698015192,1849.4843406067225,8635.677299938776
2025-06-12 21:17:39.935,5266.041759772972,1647.82925548484,8774.449011132552
2025-06-12 21:17:42.424,5266.11420278769,1662.3240118088174,8822.00263965124
2025-06-12 21:17:45.562,5266.205535122035,1552.1080191175206,8843.659842149526
2025-06-12 21:17:46.448,5266.231322390432,1905.6185354278425,8961.886262016089
2025-06-12 21:17:49.816,5266.329348936662,1852.0814802338678,8743.031919497951
2025-06-12 21:17:50.446,5266.347685256178,1651.8549287449748,9009.577354388346
2025-06-12 21:17:53.460,5266.435408537157,1843.9957130043408,8908.248200090731
2025-06-12 21:17:54.446,5266.464106332462,1676.8198806675982,9065.18796071727
2025-06-12 21:17:57.484,5266.5525281399,1942.3686172821579,8844.130538451878
2025-06-12 21:17:58.460,5266.580934882512,1721.6494242675296,8869.444119787355
2025-06-12 21:18:01.472,5266.668599952954,1907.1116452710821,8893.983688515109
2025-06-12 21:18:02.445,5266.6969193797595,1753.9040393108137,9027.223781003659
2025-06-12 21:18:05.464,5266.784788187086,1741.9955008038296,8932.92998327498
2025-06-12 21:18:06.560,5266.816687561987,1770.4849620955179,8874.001142813398
2025-06-12 21:18:09.500,5266.902257053056,1615.8719190072402,8680.517472561554
2025-06-12 21:18:12.564,5266.99143559749,1719.7507968851903,8428.105768806636
2025-06-12 21:18:13.517,5267.019172918914,1848.120017414372,9146.976606120785
2025-06-12 21:18:16.471,5267.10514988375,1631.2827089626796,8714.312063977657
2025-06-12 21:18:17.536,5267.13614699531,1549.3300050073062,8990.982684097291
2025-06-12 21:18:20.463,5267.22133811788,1553.5132025606902,8871.634175199199
2025-06-12 21:18:21.520,5267.252102387288,1889.3329240928801,8362.968949394135
2025-06-12 21:18:24.601,5267.3417757212965,1391.2861424302816,8901.17647155869
2025-06-12 21:18:25.578,5267.3702115691785,1797.2611160432502,8958.367952325552
2025-06-12 21:18:28.621,5267.458778902961,1704.4194823084397,8769.857121469478
2025-06-12 21:18:29.580,5267.486690856,1630.0691712121168,8714.562405098168
2025-06-12 21:18:32.620,5267.575170873976,1452.4333686540465,8858.8802773798
2025-06-12 21:18:33.582,5267.603170142823,1546.6028526455013,8991.579534919496
2025-06-12 21:18:36.588,5267.69066058165,1383.232571906421,8796.049511256457
2025-06-12 21:18:37.649,5267.721541272134,1606.4962916561942,9158.580612159321
2025-06-12 21:18:40.942,5267.817384923184,1713.796793314756,8774.89283572023
2025-06-12 21:18:41.602,5267.836594400771,1730.7047435453621,9076.111188965693
2025-06-12 21:18:44.606,5267.92402662906,1376.8401311115115,8625.762610558766
2025-06-12 21:19:44.606,5269.670342773318,1732.772077387581,8920.177598377222
2025-06-12 21:20:44.606,5271.416658917576,1695.2443770256614,8803.651622002128
2025-06-12 21:21:44.606,5273.162975061833,1585.6470171074118,8896.878168858126
2025-06-12 21:22:44.606,5274.9092912060905,1786.7295256560167,8934.15117854344
2025-06-12 21:23:44.606,5276.655607350348,1603.0747450817278,9060.172268295952
2025-06-12 21:24:44.606,5278.401923494605,1585.789800617614,9023.029971832868
2025-06-12 21:25:44.606,5280.148239638863,1630.5430967227717,8824.748371330188
2025-06-12 21:26:44.606,5281.89455578312,1793.080828234046,8662.059179672657
2025-06-12 21:27:44.606,5283.640871927377,1902.0617961404016,8886.620495787987
2025-06-12 21:28:44.606,5285.387188071635,1644.079529130155,8940.462863457167
2025-06-12 21:29:44.606,5287.133504215893,1521.795964893087,8897.010100100242
2025-06-12 21:30:44.606,5288.87982036015,1923.0127570302116,9051.93223666207
2025-06-12 21:31:44.606,5290.626136504407,1746.864741831696,8800.36143966055
2025-06-12 21:32:44.606,5292.372452648664,1589.188382268807,8858.344123131661
2025-06-12 21:33:44.606,5294.118768792922,1674.3013316698275,9007.38017687284
2025-06-12 21:34:44.606,5295.86508493718,2053.7036280166117,8897.489952520475
2025-06-12 21:35:44.606,5297.611401081437,1500.835711919004,8885.995381351184
2025-06-12 21:36:44.606,5299.357717225694,1708.7387972031818,8812.453447837042
2025-06-12 21:37:44.606,5301.104033369952,1828.4065063508797,8831.629688047062
2025-06-12 21:38:44.606,5302.8503495142095,1788.4739456370885,8824.009635070026
2025-06-12 21:39:44.606,5304.596665658467,1895.6531301574148,8823.95335568804
2025-06-12 21:40:44.606,5306.342981802723,1861.4529093876886,9181.268158058085
2025-06-12 21:41:44.606,5308.089297946981,1786.3170702795994,8975.114913651123
2025-06-12 21:42:44.606,5309.835614091239,1685.8271682755665,8864.768725546572
2025-06-12 21:43:44.606,5311.581930235497,1648.9848139641276,8840.15513336182
2025-06-12 21:44:44.606,5313.328246379754,1732.9921602640538,8877.507312797256
2025-06-12 21:45:44.606,5315.074562524011,1849.3955218076972,8960.77786441624
2025-06-12 21:46:44.606,5316.820878668269,1745.414996303999,8699.82688772315
2025-06-12 21:47:44.606,5318.567194812526,1635.8821345086562,8861.259219417361
2025-06-12 21:48:44.606,5320.313510956784,1931.6189112241293,8696.663508991878
